2025-02-12T06:52:54.561Z - INFO - [INFO] Starting Arbitrage Detection System...
2025-02-12T06:52:54.573Z - INFO - [INFO] Starting mempool listener...
2025-02-12T06:52:54.574Z - INFO - [INFO] Starting WebSocket listener thread...
2025-02-12T06:52:54.629Z - INFO - [INFO] Starting arbitrage checker...
2025-02-12T06:52:55.791Z - INFO - [INFO] WebSocket connection established.
2025-02-12T06:54:05.813Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:54:06.151Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:54:06.152Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:54:15.106Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:54:15.108Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:54:15.109Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:54:25.107Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:54:25.108Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:54:25.108Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:54:35.092Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:54:35.093Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:54:35.093Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:54:45.094Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:54:45.095Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:54:45.096Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:54:58.072Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:54:58.073Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:54:58.073Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:05.111Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:05.112Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:05.113Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:05.865Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:05.866Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:05.867Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:15.126Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:15.127Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:15.128Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:15.129Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:15.130Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:15.131Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:25.122Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:25.123Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:25.123Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:25.127Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:25.128Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:25.129Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:35.285Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:35.286Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:35.286Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:35.287Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:35.288Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:35.289Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:45.102Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:45.103Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:45.104Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:45.115Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:45.116Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:45.117Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:55.171Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:55.172Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:55.173Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:55:55.174Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:55:55.175Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:55:55.175Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:05.120Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:05.121Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:05.122Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:05.123Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:05.124Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:05.124Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:05.562Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:05.563Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:05.563Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:15.146Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:15.147Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:15.148Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:15.150Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:15.151Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:15.151Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:15.153Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:15.154Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:15.154Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:25.144Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:25.145Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:25.145Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:25.147Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:25.147Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:25.148Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
2025-02-12T06:56:25.149Z - INFO - [INFO] Searching for arbitrage opportunities...
2025-02-12T06:56:25.150Z - INFO - [WARNING] Skipping invalid pair: FDUSD-USDT
2025-02-12T06:56:25.151Z - INFO - [WARNING] Skipping invalid pair: WBNB-USDT
